Variable,Year,Value,RSE,State,Industry
Beef bulls at 30 June (no.),1990,4,12,New South Wales,All Broadacre
Beef calves at 30 June (no.),1990,43,9,New South Wales,All Broadacre
Beef cows at 30 June (no.),1990,79,7,New South Wales,All Broadacre
Dairy cattle at June 30 (no.),1990,0,149,New South Wales,All Broadacre
Lambs at 30 June (no.),1990,506,6,New South Wales,All Broadacre
Sheep flock at 30 June (no.),1990,2191,5,New South Wales,All Broadacre
Beef bulls at 30 June (no.),1990,9,17,New South Wales,Beef
Beef calves at 30 June (no.),1990,89,10,New South Wales,Beef
Beef cows at 30 June (no.),1990,170,8,New South Wales,Beef
Dairy cattle at June 30 (no.),1990,0,,New South Wales,Beef
Lambs at 30 June (no.),1990,8,91,New South Wales,Beef
Sheep flock at 30 June (no.),1990,58,70,New South Wales,Beef
Beef bulls at 30 June (no.),1990,0,43,New South Wales,Cropping
Beef calves at 30 June (no.),1990,13,43,New South Wales,Cropping
Beef cows at 30 June (no.),1990,20,41,New South Wales,Cropping
Dairy cattle at June 30 (no.),1990,0,,New South Wales,Cropping
Lambs at 30 June (no.),1990,66,58,New South Wales,Cropping
Sheep flock at 30 June (no.),1990,271,49,New South Wales,Cropping
Dairy cattle at June 30 (no.),1990,161,4,New South Wales,Dairy
Dairy cows at 30 June (no.),1990,103,5,New South Wales,Dairy
Beef bulls at 30 June (no.),1990,1,21,New South Wales,Mixed
Beef calves at 30 June (no.),1990,23,20,New South Wales,Mixed
Beef cows at 30 June (no.),1990,33,19,New South Wales,Mixed
Dairy cattle at June 30 (no.),1990,1,149,New South Wales,Mixed
Lambs at 30 June (no.),1990,601,12,New South Wales,Mixed
Sheep flock at 30 June (no.),1990,2050,10,New South Wales,Mixed
Beef bulls at 30 June (no.),1990,2,16,New South Wales,Sheep
Beef calves at 30 June (no.),1990,22,14,New South Wales,Sheep
Beef cows at 30 June (no.),1990,42,12,New South Wales,Sheep
Dairy cattle at June 30 (no.),1990,0,,New South Wales,Sheep
Lambs at 30 June (no.),1990,797,8,New South Wales,Sheep
Sheep flock at 30 June (no.),1990,3815,5,New South Wales,Sheep
Beef bulls at 30 June (no.),1990,8,26,New South Wales,Sheep-Beef
Beef calves at 30 June (no.),1990,78,19,New South Wales,Sheep-Beef
Beef cows at 30 June (no.),1990,143,17,New South Wales,Sheep-Beef
Dairy cattle at June 30 (no.),1990,0,,New South Wales,Sheep-Beef
Lambs at 30 June (no.),1990,560,23,New South Wales,Sheep-Beef
Sheep flock at 30 June (no.),1990,2450,18,New South Wales,Sheep-Beef
Beef bulls at 30 June (no.),1990,228,29,Northern Territory,All Broadacre
Beef calves at 30 June (no.),1990,1610,25,Northern Territory,All Broadacre
Beef cows at 30 June (no.),1990,3116,23,Northern Territory,All Broadacre
Dairy cattle at June 30 (no.),1990,0,,Northern Territory,All Broadacre
Lambs at 30 June (no.),1990,0,,Northern Territory,All Broadacre
Sheep flock at 30 June (no.),1990,4,58,Northern Territory,All Broadacre
Beef bulls at 30 June (no.),1990,228,29,Northern Territory,Beef
Beef calves at 30 June (no.),1990,1610,25,Northern Territory,Beef
Beef cows at 30 June (no.),1990,3116,23,Northern Territory,Beef
Dairy cattle at June 30 (no.),1990,0,,Northern Territory,Beef
Lambs at 30 June (no.),1990,0,,Northern Territory,Beef
Sheep flock at 30 June (no.),1990,4,58,Northern Territory,Beef
Beef bulls at 30 June (no.),1990,18,16,Queensland,All Broadacre
Beef calves at 30 June (no.),1990,162,7,Queensland,All Broadacre
Beef cows at 30 June (no.),1990,274,7,Queensland,All Broadacre
Dairy cattle at June 30 (no.),1990,2,80,Queensland,All Broadacre
Lambs at 30 June (no.),1990,268,11,Queensland,All Broadacre
